audio_file,transcript_file,transcript_length,processing_time_seconds
6a0a96921b2257d981246dcd_audio_ranking_explanation_1780204697022.webm,6a0a96921b2257d981246dcd_audio_ranking_explanation_1780204697022_transcript.json,988,20.061015
6a0b012ac9f16bd108225765_audio_missing_utopia_1780179866216.webm,6a0b012ac9f16bd108225765_audio_missing_utopia_1780179866216_transcript.json,266,6.064536
6a0b012ac9f16bd108225765_audio_ranking_explanation_1780179824799.webm,6a0b012ac9f16bd108225765_audio_ranking_explanation_1780179824799_transcript.json,408,9.161698
6a0baf5f27b302205f407d3c_audio_missing_utopia_1780198456727.webm,6a0baf5f27b302205f407d3c_audio_missing_utopia_1780198456727_transcript.json,378,7.165733
6a0baf5f27b302205f407d3c_audio_ranking_explanation_1780198428367.webm,6a0baf5f27b302205f407d3c_audio_ranking_explanation_1780198428367_transcript.json,565,11.046448
6a0ccabeb492695467a7d337_audio_missing_utopia_1780167955185.webm,6a0ccabeb492695467a7d337_audio_missing_utopia_1780167955185_transcript.json,162,5.142341
6a0ccabeb492695467a7d337_audio_ranking_explanation_1780167880127.webm,6a0ccabeb492695467a7d337_audio_ranking_explanation_1780167880127_transcript.json,95,4.92973
6a0ccfac62d36e0c006f5a90_audio_missing_utopia_1780172285336.webm,6a0ccfac62d36e0c006f5a90_audio_missing_utopia_1780172285336_transcript.json,332,6.543531
6a0ccfac62d36e0c006f5a90_audio_ranking_explanation_1780172168633.webm,6a0ccfac62d36e0c006f5a90_audio_ranking_explanation_1780172168633_transcript.json,1207,24.012235
6a0e62bef81c36a7dfcd404f_audio_missing_utopia_1780199654309.webm,6a0e62bef81c36a7dfcd404f_audio_missing_utopia_1780199654309_transcript.json,488,10.417151
6a0e62bef81c36a7dfcd404f_audio_ranking_explanation_1780199598196.webm,6a0e62bef81c36a7dfcd404f_audio_ranking_explanation_1780199598196_transcript.json,703,14.056816
6a1084a49839aa6ea0a82bff_audio_missing_utopia_1780163382040.webm,6a1084a49839aa6ea0a82bff_audio_missing_utopia_1780163382040_transcript.json,272,6.261189
6a1084a49839aa6ea0a82bff_audio_ranking_explanation_1780163349613.webm,6a1084a49839aa6ea0a82bff_audio_ranking_explanation_1780163349613_transcript.json,463,10.026614
6a10c10b76e10d5e318448c3_audio_missing_utopia_1780174174744.webm,6a10c10b76e10d5e318448c3_audio_missing_utopia_1780174174744_transcript.json,70,4.716099
6a10c10b76e10d5e318448c3_audio_ranking_explanation_1780174151676.webm,6a10c10b76e10d5e318448c3_audio_ranking_explanation_1780174151676_transcript.json,199,5.590827
6a124cb04da4df8e5924d495_audio_missing_utopia_1780206942400.webm,6a124cb04da4df8e5924d495_audio_missing_utopia_1780206942400_transcript.json,430,9.70498
6a124cb04da4df8e5924d495_audio_ranking_explanation_1780206891294.webm,6a124cb04da4df8e5924d495_audio_ranking_explanation_1780206891294_transcript.json,777,14.625424
6a1319c4c12cd346dece9fba_audio_missing_utopia_1780201389306.webm,6a1319c4c12cd346dece9fba_audio_missing_utopia_1780201389306_transcript.json,563,10.582078
6a1319c4c12cd346dece9fba_audio_ranking_explanation_1780201268920.webm,6a1319c4c12cd346dece9fba_audio_ranking_explanation_1780201268920_transcript.json,681,13.564244
6a137e9af9c0ce1fe98b75a3_audio_missing_utopia_1780176217182.webm,6a137e9af9c0ce1fe98b75a3_audio_missing_utopia_1780176217182_transcript.json,657,10.930593
6a137e9af9c0ce1fe98b75a3_audio_ranking_explanation_1780175899518.webm,6a137e9af9c0ce1fe98b75a3_audio_ranking_explanation_1780175899518_transcript.json,309,6.651687
6a13b9a53ecf22ea77ab369b_audio_missing_utopia_1780195967121.webm,6a13b9a53ecf22ea77ab369b_audio_missing_utopia_1780195967121_transcript.json,305,6.434776
6a13b9a53ecf22ea77ab369b_audio_ranking_explanation_1780195929197.webm,6a13b9a53ecf22ea77ab369b_audio_ranking_explanation_1780195929197_transcript.json,1084,16.928935
6a15b0b4db936d8329be8892_audio_missing_utopia_1780188561881.webm,6a15b0b4db936d8329be8892_audio_missing_utopia_1780188561881_transcript.json,132,5.165405
6a15b0b4db936d8329be8892_audio_ranking_explanation_1780188528801.webm,6a15b0b4db936d8329be8892_audio_ranking_explanation_1780188528801_transcript.json,295,6.292654
6a15dd57b7e983803cba4517_audio_missing_utopia_1780173865752.webm,6a15dd57b7e983803cba4517_audio_missing_utopia_1780173865752_transcript.json,192,5.811799
6a15dd57b7e983803cba4517_audio_ranking_explanation_1780173823631.webm,6a15dd57b7e983803cba4517_audio_ranking_explanation_1780173823631_transcript.json,424,9.936946
6a160ffb53f179346c6ed7ed_audio_missing_utopia_1780181213785.webm,6a160ffb53f179346c6ed7ed_audio_missing_utopia_1780181213785_transcript.json,622,12.781389
6a160ffb53f179346c6ed7ed_audio_ranking_explanation_1780181052146.webm,6a160ffb53f179346c6ed7ed_audio_ranking_explanation_1780181052146_transcript.json,911,16.903607
6a16449f33b17471b0d63c2e_audio_missing_utopia_1780172510100.webm,6a16449f33b17471b0d63c2e_audio_missing_utopia_1780172510100_transcript.json,200,5.690259
6a16449f33b17471b0d63c2e_audio_ranking_explanation_1780172462391.webm,6a16449f33b17471b0d63c2e_audio_ranking_explanation_1780172462391_transcript.json,143,5.14632
6a164c0b59f7d6fd8cf72646_audio_missing_utopia_1780179163024.webm,6a164c0b59f7d6fd8cf72646_audio_missing_utopia_1780179163024_transcript.json,381,8.983231
6a164c0b59f7d6fd8cf72646_audio_ranking_explanation_1780179106752.webm,6a164c0b59f7d6fd8cf72646_audio_ranking_explanation_1780179106752_transcript.json,1896,34.326902
6a1731c7cd92b077b3532875_audio_missing_utopia_1780167873394.webm,6a1731c7cd92b077b3532875_audio_missing_utopia_1780167873394_transcript.json,396,11.814862
6a1731c7cd92b077b3532875_audio_ranking_explanation_1780167797563.webm,6a1731c7cd92b077b3532875_audio_ranking_explanation_1780167797563_transcript.json,1400,28.666171
6a1763821bd870b1e327c0d8_audio_missing_utopia_1780192891310.webm,6a1763821bd870b1e327c0d8_audio_missing_utopia_1780192891310_transcript.json,317,6.114685
6a1763821bd870b1e327c0d8_audio_ranking_explanation_1780192800508.webm,6a1763821bd870b1e327c0d8_audio_ranking_explanation_1780192800508_transcript.json,12,4.43174
6a179eaedcc989a730c238ab_audio_missing_utopia_1780184984446.webm,6a179eaedcc989a730c238ab_audio_missing_utopia_1780184984446_transcript.json,699,13.992202
6a179eaedcc989a730c238ab_audio_ranking_explanation_1780184888286.webm,6a179eaedcc989a730c238ab_audio_ranking_explanation_1780184888286_transcript.json,1486,22.237205
6a17ac069acb48f9c7c4391f_audio_missing_utopia_1780176894139.webm,6a17ac069acb48f9c7c4391f_audio_missing_utopia_1780176894139_transcript.json,1008,23.281322
6a17ac069acb48f9c7c4391f_audio_ranking_explanation_1780176781778.webm,6a17ac069acb48f9c7c4391f_audio_ranking_explanation_1780176781778_transcript.json,1381,23.861879
6a18797c20c1b443234da878_audio_missing_utopia_1780172844583.webm,6a18797c20c1b443234da878_audio_missing_utopia_1780172844583_transcript.json,62,4.671423
6a18797c20c1b443234da878_audio_ranking_explanation_1780172835037.webm,6a18797c20c1b443234da878_audio_ranking_explanation_1780172835037_transcript.json,125,5.378737
6a18e206268ae45110499045_audio_missing_utopia_1780194980197.webm,6a18e206268ae45110499045_audio_missing_utopia_1780194980197_transcript.json,402,9.140124
6a18e206268ae45110499045_audio_ranking_explanation_1780194912095.webm,6a18e206268ae45110499045_audio_ranking_explanation_1780194912095_transcript.json,669,13.347378
6a192d7d9ea585de7ce45f2b_audio_missing_utopia_1780163176638.webm,6a192d7d9ea585de7ce45f2b_audio_missing_utopia_1780163176638_transcript.json,36,4.574064
6a192d7d9ea585de7ce45f2b_audio_ranking_explanation_1780163153981.webm,6a192d7d9ea585de7ce45f2b_audio_ranking_explanation_1780163153981_transcript.json,2247,34.92119
6a19bd25d19e132edd24a417_audio_missing_utopia_1780200017624.webm,6a19bd25d19e132edd24a417_audio_missing_utopia_1780200017624_transcript.json,670,13.798676
6a19bd25d19e132edd24a417_audio_ranking_explanation_1780199941268.webm,6a19bd25d19e132edd24a417_audio_ranking_explanation_1780199941268_transcript.json,872,15.551221
6a19d18f546496cf8a436e69_audio_missing_utopia_1780173195576.webm,6a19d18f546496cf8a436e69_audio_missing_utopia_1780173195576_transcript.json,229,6.086244
6a19d18f546496cf8a436e69_audio_ranking_explanation_1780173166976.webm,6a19d18f546496cf8a436e69_audio_ranking_explanation_1780173166976_transcript.json,308,8.584082
6a1a3233ce9bfe00996eea1a_audio_missing_utopia_1780169649761.webm,6a1a3233ce9bfe00996eea1a_audio_missing_utopia_1780169649761_transcript.json,370,9.299496
6a1a3233ce9bfe00996eea1a_audio_ranking_explanation_1780169464066.webm,6a1a3233ce9bfe00996eea1a_audio_ranking_explanation_1780169464066_transcript.json,1649,29.305712
6a1a50ad3e0e62d7abe2bfbf_audio_missing_utopia_1780201516931.webm,6a1a50ad3e0e62d7abe2bfbf_audio_missing_utopia_1780201516931_transcript.json,795,17.570914
6a1a50ad3e0e62d7abe2bfbf_audio_ranking_explanation_1780201445184.webm,6a1a50ad3e0e62d7abe2bfbf_audio_ranking_explanation_1780201445184_transcript.json,1523,24.466869
6a1a8d3372b0ab20d9c4041b_audio_missing_utopia_1780189024708.webm,6a1a8d3372b0ab20d9c4041b_audio_missing_utopia_1780189024708_transcript.json,465,10.683321
6a1a8d3372b0ab20d9c4041b_audio_ranking_explanation_1780188636266.webm,6a1a8d3372b0ab20d9c4041b_audio_ranking_explanation_1780188636266_transcript.json,1082,21.299275
6a1ae758fe1ae407eb0c8dfa_audio_missing_utopia_1780187929361.webm,6a1ae758fe1ae407eb0c8dfa_audio_missing_utopia_1780187929361_transcript.json,682,16.21813
6a1ae758fe1ae407eb0c8dfa_audio_ranking_explanation_1780187807567.webm,6a1ae758fe1ae407eb0c8dfa_audio_ranking_explanation_1780187807567_transcript.json,2174,38.365365
6a1b4f4ff5fe8966fa80eadc_audio_missing_utopia_1780189032372.webm,6a1b4f4ff5fe8966fa80eadc_audio_missing_utopia_1780189032372_transcript.json,659,13.352512
6a1b4f4ff5fe8966fa80eadc_audio_ranking_explanation_1780188815322.webm,6a1b4f4ff5fe8966fa80eadc_audio_ranking_explanation_1780188815322_transcript.json,2507,40.446788
6a1b5250d5e9bc023be2bfdb_audio_missing_utopia_1780182878655.webm,6a1b5250d5e9bc023be2bfdb_audio_missing_utopia_1780182878655_transcript.json,124,5.236168
6a1b5250d5e9bc023be2bfdb_audio_ranking_explanation_1780182850731.webm,6a1b5250d5e9bc023be2bfdb_audio_ranking_explanation_1780182850731_transcript.json,706,12.02736
6a1b60641b46d923e3ce32a0_audio_missing_utopia_1780188660209.webm,6a1b60641b46d923e3ce32a0_audio_missing_utopia_1780188660209_transcript.json,1009,20.270649
6a1b735224c511273377e91b_audio_missing_utopia_1780188435414.webm,6a1b735224c511273377e91b_audio_missing_utopia_1780188435414_transcript.json,697,13.802546
6a1b735224c511273377e91b_audio_ranking_explanation_1780188360452.webm,6a1b735224c511273377e91b_audio_ranking_explanation_1780188360452_transcript.json,3289,51.996612
6a1bb4b5eb9883bf7626d6df_audio_missing_utopia_1780205188887.webm,6a1bb4b5eb9883bf7626d6df_audio_missing_utopia_1780205188887_transcript.json,49,4.619811
6a1bb4b5eb9883bf7626d6df_audio_ranking_explanation_1780205169401.webm,6a1bb4b5eb9883bf7626d6df_audio_ranking_explanation_1780205169401_transcript.json,74,4.880205
6a1bc40efaf7defaede89aa6_audio_missing_utopia_1780207181366.webm,6a1bc40efaf7defaede89aa6_audio_missing_utopia_1780207181366_transcript.json,419,8.811448
